19840923, 0600, , DB, 18.3N,  118.6E,   25, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840923, 1200, , DB, 18.4N,  117.9E,   25, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840923, 1800, , TD, 18.5N,  116.5E,   25, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840924, 0000, , TD, 18.6N,  115.7E,   25, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840924, 0600, , TD, 18.5N,  115.2E,   30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840924, 1200, , TD, 18.4N,  114.6E,   30,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840924, 1800, , TS, 18.2N,  114.1E,   35,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840925, 0000, , TS, 18.0N,  113.5E,   40,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840925, 0600, , TS, 17.6N,  112.8E,   35,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840925, 1200, , TD, 17.2N,  112.1E,   30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840925, 1800, , TD, 17.0N,  111.5E,   30, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840926, 0000, , TD, 16.4N,  111.0E,   25, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840926, 0600, , TD, 15.8N,  110.7E,   25, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840926, 1200, , TD, 15.6N,  110.4E,   30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840926, 1800, , TD, 15.4N,  109.9E,   30, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840927, 0000, , TD, 15.4N,  109.4E,   25, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840927, 0600, , TD, 15.5N,  108.6E,   25, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840927, 1200, , DB, 15.7N,  108.0E,   20, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19840927, 1800, , DB, 16.1N,  107.4E,   20, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
