CP, 02, 2013081206,   , BEST,   0,  120N, 1396W,  20, 1010, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081212,   , BEST,   0,  120N, 1406W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081218,   , BEST,   0,  118N, 1418W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081300,   , BEST,   0,  115N, 1429W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081306,   , BEST,   0,  110N, 1438W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081312,   , BEST,   0,  110N, 1455W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081318,   , BEST,   0,  110N, 1472W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081400,   , BEST,   0,  112N, 1489W,  25, 1009, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081406,   , BEST,   0,  113N, 1507W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081412,   , BEST,   0,  117N, 1525W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081418,   , BEST,   0,  123N, 1540W,  25, 1008, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081500,   , BEST,   0,  125N, 1559W,  25, 1007, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081506,   , BEST,   0,  125N, 1575W,  30, 1006, DB,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081512,   , BEST,   0,  123N, 1591W,  30, 1005, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081518,   , BEST,   0,  123N, 1606W,  30, 1004, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081600,   , BEST,   0,  125N, 1621W,  30, 1006, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081606,   , BEST,   0,  126N, 1638W,  30, 1006, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081612,   , BEST,   0,  127N, 1656W,  30, 1007, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081618,   , BEST,   0,  130N, 1669W,  30, 1007, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081700,   , BEST,   0,  134N, 1681W,  30, 1006, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081706,   , BEST,   0,  136N, 1692W,  30, 1006, TD,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081712,   , BEST,   0,  140N, 1704W,  35, 1004, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081718,   , BEST,   0,  144N, 1717W,  40, 1001, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081800,   , BEST,   0,  149N, 1729W,  40, 1000, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081806,   , BEST,   0,  154N, 1740W,  45, 998, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081812,   , BEST,   0,  159N, 1750W,  50, 995, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081818,   , BEST,   0,  165N, 1762W,  45, 998, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081900,   , BEST,   0,  170N, 1779W,  35, 1003, TS,   0,    ,    0,    0,    0,    0,
CP, 02, 2013081906,   , BEST,   0,  173N, 1794W,  30, 1006, TD,   0,    ,    0,    0,    0,    0,
