19860131, 1800, , DB,  4.0N,  145.0E,   30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860201, 0000, , TD,  4.6N,  143.6E,   30, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860201, 0600, , TD,  5.1N,  142.1E,   30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860201, 1200, , TS,  5.5N,  140.5E,   35, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, 
19860201, 1800, , TS,  5.9N,  138.9E,   40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860202, 0000, , TS,  6.5N,  137.4E,   45,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860202, 0600, , TS,  7.8N,  136.2E,   50,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860202, 1200, , TS,  8.8N,  134.8E,   55,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860202, 1800, , TS,  9.7N,  133.6E,   60,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860203, 0000, , TS, 10.5N,  132.4E,   60,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860203, 0600, , HU, 11.3N,  131.7E,   65,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860203, 1200, , HU, 12.4N,  131.3E,   70,  981, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860203, 1800, , HU, 13.6N,  131.3E,   80,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860204, 0000, , HU, 14.9N,  131.6E,   85,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860204, 0600, , HU, 16.1N,  132.3E,   90,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860204, 1200, , HU, 17.1N,  133.6E,   95,  968, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860204, 1800, , HU, 18.0N,  135.2E,   85,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860205, 0000, , HU, 18.6N,  136.5E,   75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860205, 0600, , TS, 18.6N,  137.9E,   60,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860205, 1200, , TS, 18.7N,  139.2E,   45,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860205, 1800, , EX, 18.8N,  140.5E,   35, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19860206, 0000, , EX, 18.8N,  141.8E,   30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
