SH, 91, 2026110512,   , BEST,   0,  73S,  779E,  25, 1007, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110518,   , BEST,   0,  74S,  781E,  30, 1006, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110600,   , BEST,   0,  76S,  782E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110606,   , BEST,   0,  81S,  778E,  35, 1003, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110612,   , BEST,   0,  86S,  774E,  40, 1002, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110618,   , BEST,   0,  87S,  771E,  45,  998, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110700,   , BEST,   0,  89S,  772E,  45,  999, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110706,   , BEST,   0,  91S,  773E,  40, 1000, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110712,   , BEST,   0,  93S,  776E,  40, 1001, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110718,   , BEST,   0, 100S,  775E,  35, 1003, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110800,   , BEST,   0, 102S,  772E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110806,   , BEST,   0, 103S,  773E,  30, 1005, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 91, 2026110812,   , BEST,   0, 105S,  775E,  25, 1007, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
