19841114, 0000, , DB,  5.4N,  156.4E,   25, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841114, 0600, , DB,  5.7N,  155.4E,   30, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841114, 1200, , TD,  6.1N,  154.4E,   30, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841114, 1800, , TS,  6.7N,  153.1E,   35,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841115, 0000, , TS,  7.2N,  151.7E,   35,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841115, 0600, , TS,  7.7N,  149.9E,   40,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841115, 1200, , TS,  7.9N,  148.2E,   50,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841115, 1800, , TS,  8.4N,  147.2E,   55,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841116, 0000, , HU,  9.1N,  146.0E,   65,  983, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841116, 0600, , HU,  9.4N,  144.6E,   65,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841116, 1200, , HU,  9.8N,  142.8E,   70,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841116, 1800, , HU, 10.2N,  141.3E,   80,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841117, 0000, , HU, 10.5N,  139.9E,   85,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841117, 0600, , HU, 10.9N,  138.5E,   90,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841117, 1200, , HU, 11.5N,  137.1E,   95,  964, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841117, 1800, , HU, 12.0N,  135.8E,  100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841118, 0000, , HU, 12.5N,  134.7E,  105,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841118, 0600, , HU, 13.2N,  133.8E,  105,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841118, 1200, , HU, 14.0N,  133.1E,  105,  956, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841118, 1800, , HU, 15.0N,  132.7E,  100,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841119, 0000, , HU, 16.0N,  132.4E,   95,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841119, 0600, , HU, 17.3N,  132.4E,  100,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841119, 1200, , HU, 18.6N,  132.5E,  105,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841119, 1800, , HU, 19.7N,  132.7E,  115,  940, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841120, 0000, , HU, 20.8N,  133.3E,  110,  943, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841120, 0600, , HU, 22.0N,  134.4E,  100,  949, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841120, 1200, , HU, 23.4N,  136.0E,   90,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841120, 1800, , HU, 24.7N,  138.2E,   80,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841121, 0000, , EX, 25.8N,  140.4E,   70,  967, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841121, 0600, , EX, 26.6N,  143.0E,   65,  971, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841121, 1200, , EX, 27.1N,  145.7E,   60,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
