SH, 90, 2026090506,   , BEST,   0,  39S,  877E,  35, 1003, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090512,   , BEST,   0,  45S,  864E,  40, 1000, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090518,   , BEST,   0,  50S,  860E,  40, 1001, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090600,   , BEST,   0,  59S,  856E,  40, 1001, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090606,   , BEST,   0,  75S,  853E,  35, 1002, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090612,   , BEST,   0,  80S,  852E,  35, 1003, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090612,   , BEST,   0,  89S,  851E,  35, 1003, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090700,   , BEST,   0,  95S,  850E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090700,   , BEST,   0,  96S,  851E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090706,   , BEST,   0,  97S,  852E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090712,   , BEST,   0,  98S,  854E,  35, 1004, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090718,   , BEST,   0,  99S,  857E,  35, 1005, TS,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090800,   , BEST,   0, 100S,  862E,  30, 1006, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090806,   , BEST,   0, 101S,  866E,  30, 1006, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090812,   , BEST,   0, 102S,  870E,  30, 1007, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090818,   , BEST,   0, 112S,  865E,  30, 1008, TD,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
SH, 90, 2026090900,   , BEST,   0, 122S,  860E,  25, 1009, DB,   0,    ,    0,    0,    0,    0,    0,    0,   0,   0,   0,
