20030407, 1200,  , DB, 22.1S,  40.9E,  25, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030407, 1800,  , SD, 22.5S,  40.8E,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030408, 0000,  , SD, 23.4S,  40.7E,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030408, 0600,  , SD, 24.3S,  40.6E,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030408, 1200,  , SD, 25.2S,  40.0E,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030408, 1800,  , TD, 25.4S,  39.6E,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030409, 0000,  , TD, 25.6S,  39.3E,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030409, 0600,  , TD, 25.8S,  39.2E,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030409, 1200,  , TD, 25.7S,  40.1E,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030409, 1800,  , TS, 26.0S,  41.6E,  35, 1005,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030410, 0000,  , TS, 27.0S,  43.2E,  40, 1002,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030410, 0600,  , TS, 28.0S,  45.0E,  50,  996,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030410, 1200,  , TS, 29.2S,  47.0E,  60,  990,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030410, 1800,  , HU, 30.1S,  49.6E,  65,  987,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030411, 0000,  , HU, 31.2S,  52.6E,  70,  982,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030411, 0600,  , HU, 32.5S,  56.0E,  75,  978,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030411, 1200,  , HU, 34.2S,  60.2E,  65,  984,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030411, 1800,  , EX, 36.1S,  65.1E,  55,  990,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
20030412, 0000,  , EX, 38.5S,  70.4E,  45,  996,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, REUNION,
