19841108, 0000, , DB, 14.3N,  153.9E,   30, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841108, 0600, , DB, 14.4N,  153.7E,   30, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841108, 1200, , TS, 14.1N,  153.5E,   35, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841108, 1800, , TS, 13.9N,  153.5E,   40, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841109, 0000, , TS, 13.9N,  153.7E,   40,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841109, 0600, , TS, 13.9N,  153.8E,   45,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841109, 1200, , TS, 14.0N,  153.9E,   50,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841109, 1800, , TS, 14.2N,  153.9E,   55,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841110, 0000, , TS, 14.3N,  153.8E,   60,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841110, 0600, , HU, 14.4N,  153.7E,   65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841110, 1200, , HU, 14.5N,  153.5E,   65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841110, 1800, , HU, 14.5N,  153.2E,   70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841111, 0000, , HU, 14.5N,  152.8E,   65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841111, 0600, , TS, 14.3N,  152.1E,   60,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841111, 1200, , TS, 14.1N,  151.3E,   55,  992, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841111, 1800, , TS, 13.7N,  150.3E,   55,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19841112, 0000, , TS, 13.4N,  149.0E,   60,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
